xai_case_id,source_case_id,task_id,task_category,decision_kind,factorial_label,confidence,method_agreement,left_config,left_harness,left_model,left_success,left_dominant_path,right_config,right_harness,right_model,right_success,right_dominant_path,limitation
XAI-C01,HCI-PH4-01,addtests-t2-04,add_tests,initial_tool_strategy,harness_main_effect,high,4/4,2,opencode,claude-haiku-4-5-20251001,3/3,read -> shell -> read -> read -> plan -> edit -> shell -> shell -> plan,3,hermes,claude-haiku-4-5-20251001,3/3,read -> search -> edit,"Selected from high-divergence Phase 3 labels; use as an XAI walkthrough example, not as a prevalence estimate over all tasks."
XAI-C02,HCI-PH4-02,bench-bottle-song,benchmark,initial_tool_strategy,model_main_effect,high,3/4,2,opencode,claude-haiku-4-5-20251001,1/3,shell -> read -> read -> read -> shell -> shell -> shell -> shell -> shell,4,opencode,gpt-5.4-mini-2026-03-17,3/3,plan -> search -> search -> search -> read -> search -> search -> search -> edit -> edit -> shell -> shell -> plan,"Selected from high-divergence Phase 3 labels; use as an XAI walkthrough example, not as a prevalence estimate over all tasks."
XAI-C03,HCI-PH4-03,bugfix-t2-03,bug_fix,semantic_output_convention,interaction,high,4/4,2,opencode,claude-haiku-4-5-20251001,0/3,shell -> read -> read -> read -> plan -> edit -> read -> shell -> shell -> shell -> plan,3,hermes,claude-haiku-4-5-20251001,0/3,read -> edit,"Selected from high-divergence Phase 3 labels; use as an XAI walkthrough example, not as a prevalence estimate over all tasks."
XAI-C04,HCI-PH4-04,addtests-t2-02,add_tests,task_success_gap,interaction,medium,2/4,3,hermes,claude-haiku-4-5-20251001,3/3,read -> search -> search -> read -> edit,5,hermes,gpt-5.4-mini-2026-03-17,1/3,search -> search -> read -> read -> edit -> shell -> edit -> shell,"Selected from high-divergence Phase 3 labels; use as an XAI walkthrough example, not as a prevalence estimate over all tasks."
XAI-C05,HCI-PH4-05,bench-bottle-song,benchmark,task_success_gap,interaction,medium,2/4,2,opencode,claude-haiku-4-5-20251001,1/3,shell -> read -> read -> read -> shell -> shell -> shell -> shell -> shell,4,opencode,gpt-5.4-mini-2026-03-17,3/3,plan -> search -> search -> search -> read -> search -> search -> search -> edit -> edit -> shell -> shell -> plan,"Selected from high-divergence Phase 3 labels; use as an XAI walkthrough example, not as a prevalence estimate over all tasks."
XAI-C06,HCI-PH4-06,addlog-t2-03,add_logging,initial_tool_strategy,harness_main_effect,high,4/4,5,hermes,gpt-5.4-mini-2026-03-17,3/3,search -> search -> read -> edit,6,codex,gpt-5.4-mini-2026-03-17,3/3,shell -> shell -> edit -> shell -> shell,"Selected from high-divergence Phase 3 labels; use as an XAI walkthrough example, not as a prevalence estimate over all tasks."
